0,1,2,3,4,5,6,7,8
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100.0,53.9
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.09
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28.0,63.14
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,46.25
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.05
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,56.34
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.62
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28.0,40.87
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,51.02
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100.0,49.99
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.03
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100.0,50.94
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3.0,12.18
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.42
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,23.35
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.7
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,33.7
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,22.93
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.49
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,13.66
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28.0,28.94
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.32
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,23.84
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,27.92
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.04
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.54
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.32
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28.0,67.87
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.58
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.86
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.96
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,33.09
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26
273.0,105.0,82.0,210.0,9.0,904.0,680.0,28.0,37.17
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.86
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,13.29
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28.0,76.24
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,31.84
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3.0,22.75
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14.0,24.66
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.07
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28.0,46.68
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,37.36
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56.0,39.27
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.03
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7.0,15.07
